q0_0, q0_1, q0_2, q0_3, q0_4, q0_5, q0_6, q1_0, q1_1, q1_2, q1_3, q1_4, q1_5, q1_6, x, x_prec, y, y_prec, z, z_prec
0.930008, 0.377174, 0.128589, 0.404364, 0.183137, 0.507214, 0, 0.908794, 0.373874, 0.128589, 0.404364, 0.189737, 0.507214, 0, 0.00656129, 0.0162219, -0.00216752, 0.0162219, 0.00739581, 0.0162219
0.133133, 0.36247, 0.128589, 0.404364, 0.212546, 0.507214, 0, 0.189965, 0.353629, 0.128589, 0.404364, 0.230227, 0.507214, 0, -0.000600248, 0.0162533, 0.00176172, 0.0162533, 0.0084421, 0.0162533
0.842596, 0.363577, 0.128589, 0.404364, 0.210332, 0.507214, 0, 0.29221, 0.277961, 0.128589, 0.404364, 0.381563, 0.507214, 0, -0.00565597, 0.0287986, 0.42662, 0.0287986, -0.00850224, 0.0287986
0.138457, 0.361641, 0.128589, 0.404364, 0.214202, 0.507214, 0, 0.208496, 0.350746, 0.128589, 0.404364, 0.235992, 0.507214, 0, -0.00679847, 0.0162424, -0.0024137, 0.0162424, 0.00807996, 0.0162424
0.729627, 0.346004, 0.128589, 0.404364, 0.245478, 0.507214, 0, 0.220931, 0.266873, 0.128589, 0.404364, 0.403739, 0.507214, 0, -0.0152134, 0.0299133, 0.463778, 0.0299133, 0.00647592, 0.0299133
-0.0247914, 0.387035, 0.128589, 0.404364, 0.163414, 0.507214, 0, 0.569914, 0.294526, 0.128589, 0.404364, 0.348433, 0.507214, 0, -0.00968107, 0.0221448, -0.204827, 0.0221448, -0.00371082, 0.0221448
0.74899, 0.349016, 0.128589, 0.404364, 0.239454, 0.507214, 0, 0.360775, 0.288627, 0.128589, 0.404364, 0.360232, 0.507214, 0, -0.00307801, 0.0256848, 0.322826, 0.0256848, 0.00898816, 0.0256848
0.679845, 0.33826, 0.128589, 0.404364, 0.260965, 0.507214, 0, 0.461803, 0.304342, 0.128589, 0.404364, 0.328801, 0.507214, 0, -0.00722617, 0.0207198, 0.157327, 0.0207198, -0.00649051, 0.0207198
0.718447, 0.344265, 0.128589, 0.404364, 0.248956, 0.507214, 0, 0.392057, 0.293493, 0.128589, 0.404364, 0.3505, 0.507214, 0, 0.00184996, 0.0241659, 0.272196, 0.0241659, -0.000582146, 0.0241659
0.210036, 0.350507, 0.128589, 0.404364, 0.236472, 0.507214, 0, 0.398419, 0.321203, 0.128589, 0.404364, 0.295079, 0.507214, 0, -0.00157566, 0.0160473, 0.00130758, 0.0160473, -0.000833149, 0.0160473
0.658635, 0.33496, 0.128589, 0.404364, 0.267564, 0.507214, 0, 0.185038, 0.26129, 0.128589, 0.404364, 0.414905, 0.507214, 0, -0.0178288, 0.0304806, 0.482686, 0.0304806, -0.00930311, 0.0304806
-0.0801422, 0.395646, 0.128589, 0.404364, 0.146194, 0.507214, 0, 0.698155, 0.274577, 0.128589, 0.404364, 0.388331, 0.507214, 0, -0.0137868, 0.0292367, -0.441222, 0.0292367, 0.000528687, 0.0292367
0.937717, 0.378373, 0.128589, 0.404364, 0.180739, 0.507214, 0, 0.549948, 0.318053, 0.128589, 0.404364, 0.301378, 0.507214, 0, 0.00755441, 0.0162441, -0.00472821, 0.0162441, 0.00813711, 0.0162441
-0.0404902, 0.389478, 0.128589, 0.404364, 0.15853, 0.507214, 0, 0.746486, 0.267059, 0.128589, 0.404364, 0.403367, 0.507214, 0, -0.0207737, 0.0302147, -0.473823, 0.0302147, -0.00347479, 0.0302147
-0.00404583, 0.383808, 0.128589, 0.404364, 0.169868, 0.507214, 0, 0.150688, 0.359739, 0.128589, 0.404364, 0.218008, 0.507214, 0, 0.00729716, 0.0162935, 0.00801648, 0.0162935, 0.0097837, 0.0162935
0.888553, 0.370725, 0.128589, 0.404364, 0.196034, 0.507214, 0, 0.7923, 0.355753, 0.128589, 0.404364, 0.225979, 0.507214, 0, 0.00977512, 0.0162933, -0.00290019, 0.0162933, -0.00858786, 0.0162933
0.212679, 0.350096, 0.128589, 0.404364, 0.237294, 0.507214, 0, 0.253262, 0.343783, 0.128589, 0.404364, 0.24992, 0.507214, 0, 0.00120865, 0.0161581, -0.00527161, 0.0161581, -0.00137015, 0.0161581
0.354767, 0.327993, 0.128589, 0.404364, 0.281499, 0.507214, 0, 0.7741, 0.262764, 0.128589, 0.404364, 0.411958, 0.507214, 0, -0.0170862, 0.0329816, -0.566053, 0.0329816, -0.190344, 0.0329816
0.989788, 0.386473, 0.128589, 0.404364, 0.164539, 0.507214, 0, 0.321232, 0.282475, 0.128589, 0.404364, 0.372534, 0.507214, 0, -0.0026722, 0.0278177, 0.393922, 0.0278177, 0.00658149, 0.0278177
0.0866864, 0.369695, 0.128589, 0.404364, 0.198096, 0.507214, 0, 0.175698, 0.355848, 0.128589, 0.404364, 0.225788, 0.507214, 0, 0.00433074, 0.0162727, 0.00909061, 0.0162727, 0.00180803, 0.0162727
0.9881, 0.386211, 0.128589, 0.404364, 0.165064, 0.507214, 0, 0.614187, 0.328046, 0.128589, 0.404364, 0.281392, 0.507214, 0, -0.00252749, 0.0162811, 0.00937033, 0.0162811, 0.00278031, 0.0162811
0.868421, 0.367594, 0.128589, 0.404364, 0.202297, 0.507214, 0, 0.335411, 0.284681, 0.128589, 0.404364, 0.368123, 0.507214, 0, 0.00197727, 0.0270024, 0.366748, 0.0270024, 0.00713624, 0.0270024
0.237122, 0.346293, 0.128589, 0.404364, 0.244898, 0.507214, 0, 0.741715, 0.267801, 0.128589, 0.404364, 0.401883, 0.507214, 0, -0.0209546, 0.0305547, -0.485158, 0.0305547, 0.00186674, 0.0305547
-0.0219141, 0.386588, 0.128589, 0.404364, 0.164309, 0.507214, 0, 0.507269, 0.30427, 0.128589, 0.404364, 0.328944, 0.507214, 0, -0.0053029, 0.0190483, -0.101612, 0.0190483, -0.00257453, 0.0190483
0.143132, 0.360914, 0.128589, 0.404364, 0.215657, 0.507214, 0, 0.314052, 0.334326, 0.128589, 0.404364, 0.268832, 0.507214, 0, -0.00157726, 0.0162839, 0.00548449, 0.0162839, -0.00946297, 0.0162839
0.878201, 0.369115, 0.128589, 0.404364, 0.199255, 0.507214, 0, 0.713415, 0.343482, 0.128589, 0.404364, 0.250522, 0.507214, 0, 0.0016643, 0.016292, 0.00565503, 0.016292, -0.00973193, 0.016292
0.140522, 0.36132, 0.128589, 0.404364, 0.214845, 0.507214, 0, 0.68574, 0.276508, 0.128589, 0.404364, 0.384468, 0.507214, 0, -0.00387813, 0.0286497, -0.421656, 0.0286497, 0.00442227, 0.0286497
0.311353, 0.334746, 0.128589, 0.404364, 0.267992, 0.507214, 0, 0.389256, 0.322628, 0.128589, 0.404364, 0.292229, 0.507214, 0, -0.00184799, 0.0162036, -0.00678548, 0.0162036, -0.00129438, 0.0162036
0.286538, 0.338606, 0.128589, 0.404364, 0.260272, 0.507214, 0, 0.371702, 0.325359, 0.128589, 0.404364, 0.286767, 0.507214, 0, -0.00851707, 0.0162555, -0.00186611, 0.0162555, 0.00693271, 0.0162555
0.713125, 0.343437, 0.128589, 0.404364, 0.250612, 0.507214, 0, 0.250165, 0.271421, 0.128589, 0.404364, 0.394644, 0.507214, 0, -0.0164003, 0.0293912, 0.446375, 0.0293912, 0.00522854, 0.0293912
0.777215, 0.353406, 0.128589, 0.404364, 0.230673, 0.507214, 0, 0.555536, 0.318923, 0.128589, 0.404364, 0.299639, 0.507214, 0, 0.00780336, 0.0162341, -0.00197466, 0.0162341, -0.00325986, 0.0162341
1.01829, 0.390906, 0.128589, 0.404364, 0.155673, 0.507214, 0, 0.182925, 0.260961, 0.128589, 0.404364, 0.415563, 0.507214, 0, 0.0114912, 0.0287397, 0.424656, 0.0287397, 0.00459004, 0.0287397
0.800949, 0.357098, 0.128589, 0.404364, 0.223289, 0.507214, 0, 0.639837, 0.332036, 0.128589, 0.404364, 0.273413, 0.507214, 0, -0.00205768, 0.0162427, -0.00609975, 0.0162427, -0.00809077, 0.0162427
0.0975401, 0.368006, 0.128589, 0.404364, 0.201473, 0.507214, 0, 0.597393, 0.290251, 0.128589, 0.404364, 0.356983, 0.507214, 0, 0.00567878, 0.0237836, -0.259453, 0.0237836, 0.00537203, 0.0237836
1.05044, 0.395907, 0.128589, 0.404364, 0.14567, 0.507214, 0, 0.616165, 0.328354, 0.128589, 0.404364, 0.280777, 0.507214, 0, -0.00733427, 0.01622, -0.00501583, 0.01622, 0.00247646, 0.01622
-0.0825427, 0.396019, 0.128589, 0.404364, 0.145447, 0.507214, 0, 0.509399, 0.303939, 0.128589, 0.404364, 0.329606, 0.507214, 0, -0.00706595, 0.0191235, -0.104118, 0.0191235, -0.000518001, 0.0191235
0.97474, 0.384132, 0.128589, 0.404364, 0.16922, 0.507214, 0, 0.770938, 0.35243, 0.128589, 0.404364, 0.232626, 0.507214, 0, 0.00950925, 0.0162853, 0.000358149, 0.0162853, -0.00291895, 0.0162853
0.0556013, 0.37453, 0.128589, 0.404364, 0.188425, 0.507214, 0, 0.387975, 0.322827, 0.128589, 0.404364, 0.29183, 0.507214, 0, -0.00787219, 0.01628, -0.00933237, 0.01628, 0.00814341, 0.01628
0.841821, 0.363456, 0.128589, 0.404364, 0.210573, 0.507214, 0, 0.535427, 0.315795, 0.128589, 0.404364, 0.305896, 0.507214, 0, 0.00656345, 0.0163788, 0.0126267, 0.0163788, 0.00663304, 0.0163788
0.280869, 0.339488, 0.128589, 0.404364, 0.258508, 0.507214, 0, 0.747838, 0.266849, 0.128589, 0.404364, 0.403788, 0.507214, 0, -0.0206009, 0.0303799, -0.479329, 0.0303799, 0.00801838, 0.0303799
0.883867, 0.369996, 0.128589, 0.404364, 0.197492, 0.507214, 0, 0.737098, 0.347166, 0.128589, 0.404364, 0.243153, 0.507214, 0, 0.00728078, 0.0162439, -0.00812991, 0.0162439, 0.000737968, 0.0162439
0.645655, 0.332941, 0.128589, 0.404364, 0.271602, 0.507214, 0, 0.474148, 0.306262, 0.128589, 0.404364, 0.32496, 0.507214, 0, -0.00692188, 0.0194195, 0.113982, 0.0194195, 0.00903872, 0.0194195
-0.0438268, 0.389997, 0.128589, 0.404364, 0.157492, 0.507214, 0, 0.718595, 0.271398, 0.128589, 0.404364, 0.39469, 0.507214, 0, -0.000907101, 0.0296612, -0.455375, 0.0296612, -0.000457238, 0.0296612
0.92215, 0.375952, 0.128589, 0.404364, 0.185582, 0.507214, 0, 0.43807, 0.30065, 0.128589, 0.404364, 0.336184, 0.507214, 0, 0.0105541, 0.0218476, 0.194918, 0.0218476, -0.00533094, 0.0218476
0.344709, 0.329558, 0.128589, 0.404364, 0.27837, 0.507214, 0, 0.593322, 0.290884, 0.128589, 0.404364, 0.355716, 0.507214, 0, 0.000905471, 0.0235429, -0.25143, 0.0235429, 0.00228527, 0.0235429
0.33383, 0.33125, 0.128589, 0.404364, 0.274985, 0.507214, 0, 0.355588, 0.327865, 0.128589, 0.404364, 0.281754, 0.507214, 0, -0.00555156, 0.0162485, -0.00748251, 0.0162485, -0.00828465, 0.0162485
0.328508, 0.332078, 0.128589, 0.404364, 0.273329, 0.507214, 0, 0.447057, 0.313637, 0.128589, 0.404364, 0.310211, 0.507214, 0, -0.00961362, 0.0162884, -0.00478984, 0.0162884, -0.00788742, 0.0162884
0.913226, 0.374563, 0.128589, 0.404364, 0.188358, 0.507214, 0, 0.806868, 0.358019, 0.128589, 0.404364, 0.221447, 0.507214, 0, -0.00873739, 0.0162914, -0.00396599, 0.0162914, -0.0097134, 0.0162914
-0.0669648, 0.393596, 0.128589, 0.404364, 0.150293, 0.507214, 0, 0.0227644, 0.379638, 0.128589, 0.404364, 0.178209, 0.507214, 0, -0.00204819, 0.0162686, 0.00895416, 0.0162686, -2.89139e-05, 0.0162686
0.106911, 0.366549, 0.128589, 0.404364, 0.204388, 0.507214, 0, 0.307585, 0.335333, 0.128589, 0.404364, 0.26682, 0.507214, 0, -0.00496616, 0.016149, 0.000656167, 0.016149, -0.00494354, 0.016149
0.646594, 0.333087, 0.128589, 0.404364, 0.27131, 0.507214, 0, 0.284505, 0.276762, 0.128589, 0.404364, 0.38396, 0.507214, 0, -0.000190528, 0.0287145, 0.423816, 0.0287145, 0.00323881, 0.0287145
0.256329, 0.343306, 0.128589, 0.404364, 0.250874, 0.507214, 0, 0.48601, 0.307577, 0.128589, 0.404364, 0.32233, 0.507214, 0, 0.00660325, 0.0176477, -0.0549225, 0.0176477, 0.0094184, 0.0176477
0.726066, 0.34545, 0.128589, 0.404364, 0.246586, 0.507214, 0, 0.203384, 0.264144, 0.128589, 0.404364, 0.409198, 0.507214, 0, -0.00490196, 0.0300202, 0.467341, 0.0300202, 0.00690873, 0.0300202
0.0405736, 0.376868, 0.128589, 0.404364, 0.18375, 0.507214, 0, 0.317684, 0.333761, 0.128589, 0.404364, 0.269962, 0.507214, 0, -0.00898543, 0.0162696, 0.00478276, 0.0162696, -0.002214, 0.0162696
0.137372, 0.36181, 0.128589, 0.404364, 0.213865, 0.507214, 0, 0.797068, 0.259191, 0.128589, 0.404364, 0.419104, 0.507214, 0, -0.0132643, 0.0333878, -0.579595, 0.0333878, -0.204915, 0.0333878
-0.0346722, 0.388572, 0.128589, 0.404364, 0.16034, 0.507214, 0, 0.514073, 0.303212, 0.128589, 0.404364, 0.331061, 0.507214, 0, 0.00804867, 0.0190056, -0.100188, 0.0190056, 0.00934161, 0.0190056
0.674003, 0.337351, 0.128589, 0.404364, 0.262783, 0.507214, 0, 0.184835, 0.261258, 0.128589, 0.404364, 0.414969, 0.507214, 0, -0.00442937, 0.0304271, 0.480902, 0.0304271, -0.00168911, 0.0304271
0.0878672, 0.369511, 0.128589, 0.404364, 0.198463, 0.507214, 0, 0.795535, 0.259429, 0.128589, 0.404364, 0.418627, 0.507214, 0, -0.0115092, 0.0334446, -0.581487, 0.0334446, -0.203541, 0.0334446
0.910904, 0.374202, 0.128589, 0.404364, 0.189081, 0.507214, 0, 0.18896, 0.2619, 0.128589, 0.404364, 0.413685, 0.507214, 0, -0.00579281, 0.0300439, 0.468131, 0.0300439, -0.00712173, 0.0300439
0.145061, 0.360614, 0.128589, 0.404364, 0.216257, 0.507214, 0, 0.340516, 0.33021, 0.128589, 0.404364, 0.277065, 0.507214, 0, 0.00237369, 0.0161293, -0.000231875, 0.0161293, 0.00431017, 0.0161293
